LEAName,LEATypeDescription_first,LEACounty_first,YearsInEd_mean,YearsInLEA_mean,female_sum,AnnualSalary_mean,N_teachers
Norwin SD,School District,Westmoreland,13.4885321100917,11.7522935779817,309,70060.1353211009,436
Octorara Area SD,School District,Chester,14.3991031390135,12.9484304932735,302,70460.6076233184,446
Oil City Area SD,School District,Venango,14.6943231441048,14.2401746724891,164,59512.03930131,229
Old Forge SD,School District,Lackawanna,9.95614035087719,9.14912280701754,80,53644.8899082569,114
Oley Valley SD,School District,Berks,16.1621621621622,13.8162162162162,139,69750.8636363636,185
Oswayo Valley SD,School District,Potter,15.0116279069767,13.2093023255814,60,55436.0117647059,86
Otto-Eldred SD,School District,McKean,13.030612244898,10.7448979591837,75,56006.2755102041,98
Owen J Roberts SD,School District,Chester,12.3221830985915,10.419014084507,423,71344.4577464789,568
Oxford Area SD,School District,Chester,10.4044585987261,10.0509554140127,242,61158.3089171974,314
Palisades SD,School District,Bucks,15.0228136882129,13.5665399239544,199,77472.96875,263
Palmerton Area SD,School District,Carbon,14.0118343195266,11.7218934911243,115,61318.6686390533,169
Palmyra Area SD,School District,Lebanon,12.6960227272727,9.41761363636364,238,59095.8584337349,352
Panther Valley SD,School District,Carbon,14.7676056338028,13.1619718309859,109,49659.8591549296,142
Parkland SD,School District,Lehigh,14.6408114558473,12.4295942720764,627,81295.8743842364,838
Pen Argyl Area SD,School District,Northampton,13.88,12.08,153,63236.595959596,200
Penn Cambria SD,School District,Cambria,15.643216080402,13.4472361809045,146,55652,199
Penn Hills SD,School District,Allegheny,14.5261324041812,14.383275261324,187,73051.5923344948,287
Penn Manor SD,School District,Lancaster,11.7407407407407,10.2222222222222,370,66174.0857699805,513
Penn-Delco SD,School District,Delaware,11.3481012658228,10.3607594936709,233,68358.1392405063,316
Penn-Trafford SD,School District,Westmoreland,13.1326860841424,10.8867313915858,209,70905.0776699029,309
Penncrest SD,School District,Crawford,16.135593220339,14.0932203389831,246,63031.5282485876,354
Pennridge SD,School District,Bucks,16.9193302891933,14.8477929984779,497,84040.0715372907,657
Penns Manor Area SD,School District,Indiana,16.2393162393162,14.3247863247863,70,68297.6923076923,117
Penns Valley Area SD,School District,Centre,14.1288343558282,11.9570552147239,122,60144.2546583851,163
Pennsbury SD,School District,Bucks,13.2826780021254,11.7725823591923,723,75668.8416578108,941
Pequea Valley SD,School District,Lancaster,13.4809523809524,11.8380952380952,151,71701.9707602339,210
Perkiomen Valley SD,School District,Montgomery,14.8383233532934,12.6327345309381,354,77463.628742515,501
Peters Township SD,School District,Washington,14.1432584269663,11.6966292134831,261,74275.7078651685,356
Philadelphia City SD,School District,Philadelphia,12.8283037305283,12.8283037305283,13360,68137.4965798701,17397
Philipsburg-Osceola Area SD,School District,Clearfield,9.84444444444444,9.84444444444444,124,57767.4888888889,180
Phoenixville Area SD,School District,Chester,14.1127098321343,10.7194244604317,297,73214.0407673861,417
Pine Grove Area SD,School District,Schuylkill,12.8101265822785,10.3860759493671,119,51832.4493670886,158
Pine-Richland SD,School District,Allegheny,15.5012285012285,13.1203931203931,265,72245.9459459459,407
Pittsburgh SD,School District,Allegheny,13.1556291390728,13.1556291390728,2013,77966.8083149375,2718
Pittston Area SD,School District,Luzerne,9.61883408071749,8.86995515695067,161,65271.5022421525,223
Pleasant Valley SD,School District,Monroe,15.6829268292683,13.9778270509978,340,71357.031026253,451
Plum Borough SD,School District,Allegheny,13.8982035928144,12.7574850299401,220,80917.3473053892,334
Pocono Mountain SD,School District,Monroe,15.8322082931533,14.6750241080039,771,75467.7405978785,1037
Port Allegany SD,School District,McKean,16.785046728972,13.4205607476636,70,60634.3644859813,107
Portage Area SD,School District,Cambria,13.3684210526316,11.0087719298246,70,51688.6666666667,114
Pottsgrove SD,School District,Montgomery,15.0668449197861,12.5695187165775,262,70483.447592068,374
Pottstown SD,School District,Montgomery,14.495145631068,13.4466019417476,228,61829.7928802589,309
Pottsville Area SD,School District,Schuylkill,12.7185185185185,10.1592592592593,189,61625.0617760618,270
Punxsutawney Area SD,School District,Jefferson,15.6739811912226,14.4451410658307,228,55313.9467084639,319
Purchase Line SD,School District,Indiana,17.2900763358779,14.2137404580153,97,65563.748091603,131
Quaker Valley SD,School District,Allegheny,16.0313901345291,13.914798206278,154,84569.6171171171,223
Quakertown Community SD,School District,Bucks,15.2700421940928,13.4240506329114,338,90379.1582278481,474
Radnor Township SD,School District,Delaware,16.255980861244,12.3421052631579,288,87002.7817745803,418
Reading SD,School District,Berks,11.8880341880342,11.0871794871795,880,61121.2333333333,1170
Red Lion Area SD,School District,York,14.3954372623574,12.4372623574144,384,67577.299009901,526
Redbank Valley SD,School District,Clarion,15.122641509434,13.3962264150943,77,57903.4433962264,106
Reynolds SD,School District,Mercer,13.9083969465649,13.5190839694656,89,68222.1755725191,131
Richland SD,School District,Cambria,14.9779411764706,12.4779411764706,96,59021.2279411765,136
Ridgway Area SD,School District,Elk,14.8716216216216,12.4391891891892,94,58714.8175675676,148
Ridley SD,School District,Delaware,16.2402464065708,15.7967145790554,358,88907.8024948025,487
Ringgold SD,School District,Washington,10.3938356164384,10.1746575342466,229,49874.7602739726,292
Riverside Beaver County SD,School District,Beaver,16.7453416149068,14.7826086956522,90,69075.04375,161
Riverside SD,School District,Lackawanna,11.9205298013245,11.1788079470199,112,60618.0264900662,151
Riverview SD,School District,Allegheny,13.8968253968254,13,83,70670.746031746,126
Rochester Area SD,School District,Beaver,15.0614035087719,11.9298245614035,82,64424.7719298246,114
Rockwood Area SD,School District,Somerset,14.5116279069767,11.3488372093023,68,52464.3720930233,86
Rose Tree Media SD,School District,Delaware,15.4085510688836,13.1425178147268,292,84808.622327791,421
Saint Clair Area SD,School District,Schuylkill,13.52,12.24,39,51154.78,50
Saint Marys Area SD,School District,Elk,15.2990654205607,12.9906542056075,154,59192.1706161137,214
Salisbury Township SD,School District,Lehigh,16.2675438596491,12.6710526315789,166,72042.8341013825,228
Salisbury-Elk Lick SD,School District,Somerset,14.0845070422535,13.6760563380282,48,44414.9154929577,71
Saucon Valley SD,School District,Northampton,14.4074074074074,11.7314814814815,153,78308.1157407407,216
Sayre Area SD,School District,Bradford,14.2258064516129,12.5161290322581,85,69245.9112903226,124
Schuylkill Haven Area SD,School District,Schuylkill,13.5661764705882,10.8308823529412,105,56453.9264705882,136
Schuylkill Valley SD,School District,Berks,17.9748953974895,14.9748953974895,155,83266.820083682,239
Scranton SD,School District,Lackawanna,13.8215324927255,11.717749757517,769,61913.1270611057,1031
Selinsgrove Area SD,School District,Snyder,12.7673267326733,11.8762376237624,144,74596.9504950495,202
Seneca Valley SD,School District,Butler,14.0725925925926,13.0207407407407,506,72012.3274074074,675
Shade-Central City SD,School District,Somerset,14.8630136986301,11.6849315068493,48,55137.5492957746,73
Shaler Area SD,School District,Allegheny,14.582995951417,13.3886639676113,335,68665.1558704453,494
Shamokin Area SD,School District,Northumberla,12.5929648241206,10.9346733668342,151,50998.8894472362,199
Shanksville-Stonycreek SD,School District,Somerset,15.4210526315789,13.5714285714286,80,48348.5075757576,133
Sharon City SD,School District,Mercer,15.8728070175439,14.0175438596491,156,60534.4166666667,228
Sharpsville Area SD,School District,Mercer,15.0309278350515,12.659793814433,62,66023.030927835,97
Shenandoah Valley SD,School District,Schuylkill,14.2978723404255,12.6276595744681,71,51995.7446808511,94
Shenango Area SD,School District,Lawrence,14.1025641025641,12.6752136752137,82,69827.5982905983,117
Shikellamy SD,School District,Northumberla,15.3311827956989,13.4860215053763,327,67003.511827957,465
Shippensburg Area SD,School District,Cumberland,12.4761904761905,1.00793650793651,175,66760.7261904762,252
Slippery Rock Area SD,School District,Butler,12.6307692307692,11.1230769230769,136,64370.1846153846,195
Smethport Area SD,School District,McKean,16.4485981308411,12.4766355140187,75,59907.2547169811,107
Solanco SD,School District,Lancaster,14.0891719745223,12.1656050955414,237,59135.6210191083,314
Somerset Area SD,School District,Somerset,14.7227722772277,13.019801980198,156,58144.2227722772,202
Souderton Area SD,School District,Montgomery,14.3549920760697,12.7654516640254,476,74049.1870047544,631
South Allegheny SD,School District,Allegheny,14.7785234899329,14.0402684563758,102,60620.7248322148,149
South Butler County SD,School District,Butler,16.2490272373541,14.6264591439689,177,58341.7859922179,257
South Eastern SD,School District,York,16.0852459016393,13.2098360655738,222,69938.4295081967,305
South Fayette Township SD,School District,Allegheny,11.2121212121212,9.57575757575758,190,68059.125,264
South Middleton SD,School District,Cumberland,14.6666666666667,12.6710526315789,157,60227.8464912281,228
South Park SD,School District,Allegheny,13.2603550295858,11.2899408284024,120,65650.0946745562,169
South Side Area SD,School District,Beaver,14.8670886075949,13.253164556962,101,70252.5605095541,158
South Western SD,School District,York,13.9476082004556,12.4601366742597,304,67956.8018223235,439
South Williamsport Area SD,School District,Lycoming,16.184,14.872,89,65260.664,125
Southeast Delco SD,School District,Delaware,11.8164705882353,10.28,325,70913.9788235294,425
Southeastern Greene SD,School District,Greene,11.0344827586207,8.98850574712644,57,48146.275862069,87
Southern Columbia Area SD,School District,Columbia,16.1555555555556,13.7555555555556,93,61208.962962963,135
Southern Fulton SD,School District,Fulton,15.5555555555556,13.3950617283951,57,58511.9382716049,81
Southern Huntingdon County SD,School District,Huntingdon,14.5116279069767,12.6589147286822,99,50711.1937984496,129
Southern Lehigh SD,School District,Lehigh,11.9667774086379,7.64784053156146,198,74190.1683848797,301
Southern Tioga SD,School District,Tioga,14.1761658031088,12.6062176165803,134,59218.5492227979,193
Southern York County SD,School District,York,15.0755395683453,11.6654676258993,207,77717.1834532374,278
Southmoreland SD,School District,Westmoreland,14.1552795031056,13.1863354037267,114,61343.049689441,161
Spring Cove SD,School District,Blair,14.7892561983471,13.0454545454545,174,56653.6113744076,242
