Match_addr,City,Subregion,Region,Postal,Lon,Lat,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ARC_Addres,ARC_Neighb,ARC_City,ARC_Subreg,ARC_Region,ARC_Postal,ARC_Post_1,ARC_Countr,Date_Clean,Address_Cl,Zip_Code,Type_Clean,STATEFP,COUNTYFP,COUSUBFP,COUSUBNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CNECTAFP,NECTAFP,NCTADVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.93739,40.23952,-76.93739,40.23952,-76.94239,-76.93239,40.23452,40.24452,4850 Creekview Road 17011,,,17011,,,,,9/3/2015,4850 Creekview Road 17011,17011,Driving Under the Influence,,,,,,,,,,,,,,,,,,
"E Trindle Rd, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.95514,40.23130,-76.95514,40.23130,-76.95714,-76.95314,40.22930,40.23330,4850 East Trindle Road 17011,,,17011,,,,,3/14/2015,4850 East Trindle Road 17011,17011,Driving Under the Influence,,,,,,,,,,,,,,,,,,
"Carlisle Pike, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.95624,40.23784,-76.95624,40.23784,-76.96224,-76.95024,40.23184,40.24384,4850 Carlisle Pike 17011,,,17011,,,,,1/17/2015,4850 Carlisle Pike 17011,17011,Driving Under the Influence,,,,,,,,,,,,,,,,,,
"Carlisle Pike, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.95624,40.23784,-76.95624,40.23784,-76.96224,-76.95024,40.23184,40.24384,4850 Carlisle Pike 17011,,,17011,,,,,4/16/2015,4850 Carlisle Pike 17011,17011,Driving Under the Influence,,,,,,,,,,,,,,,,,,
"Carlisle Pike, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.95624,40.23784,-76.95624,40.23784,-76.96224,-76.95024,40.23184,40.24384,4850 Carlisle Pike 17011,,,17011,,,,,8/7/2015,4850 Carlisle Pike 17011,17011,Driving Under the Influence,,,,,,,,,,,,,,,,,,
"Carlisle Pike, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.95624,40.23784,-76.95624,40.23784,-76.96224,-76.95024,40.23184,40.24384,4850 Carlisle Pike 17011,,,17011,,,,,3/22/2015,4850 Carlisle Pike 17011,17011,Driving Under the Influence,,,,,,,,,,,,,,,,,,
"E Trindle Rd, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.95514,40.23130,-76.95514,40.23130,-76.95714,-76.95314,40.22930,40.23330,4850 East Trindle Road 17011,,,17011,,,,,6/1/2016,4850 East Trindle Road 17011,17011,Harassment,,,,,,,,,,,,,,,,,,
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.93739,40.23952,-76.93739,40.23952,-76.94239,-76.93239,40.23452,40.24452,4850 Brian Road 17011,,,17011,,,,,11/17/2016,4850 Brian Road 17011,17011,Identity Theft,,,,,,,,,,,,,,,,,,
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.93739,40.23952,-76.93739,40.23952,-76.94239,-76.93239,40.23452,40.24452,4850 Charles Road 17011,,,17011,,,,,10/13/2015,4850 Charles Road 17011,17011,Identity Theft,,,,,,,,,,,,,,,,,,
"E Trindle Rd, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.95514,40.23130,-76.95514,40.23130,-76.95714,-76.95314,40.22930,40.23330,4850 East Trindle Road 17011,,,17011,,,,,2/4/2016,4850 East Trindle Road 17011,17011,"Prohibited Acts; Penalties",,,,,,,,,,,,,,,,,,
"E Trindle Rd, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.95514,40.23130,-76.95514,40.23130,-76.95714,-76.95314,40.22930,40.23330,4850 East Trindle Road 17011,,,17011,,,,,3/14/2015,4850 East Trindle Road 17011,17011,"Prohibited Acts; Penalties",,,,,,,,,,,,,,,,,,
"E Trindle Rd, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.95514,40.23130,-76.95514,40.23130,-76.95714,-76.95314,40.22930,40.23330,4850 East Trindle Road 17011,,,17011,,,,,3/8/2015,4850 East Trindle Road 17011,17011,"Prohibited Acts; Penalties",,,,,,,,,,,,,,,,,,
"Carlisle Pike, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.95624,40.23784,-76.95624,40.23784,-76.96224,-76.95024,40.23184,40.24384,4850 Carlisle Pike 17011,,,17011,,,,,11/11/2016,4850 Carlisle Pike 17011,17011,"Prohibited Acts; Penalties",,,,,,,,,,,,,,,,,,
"E Trindle Rd, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.95514,40.23130,-76.95514,40.23130,-76.95714,-76.95314,40.22930,40.23330,4850 East Trindle Road 17011,,,17011,,,,,5/8/2016,4850 East Trindle Road 17011,17011,"Prohibited Acts; Penalties",,,,,,,,,,,,,,,,,,
"Carlisle Pike, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.95624,40.23784,-76.95624,40.23784,-76.96224,-76.95024,40.23184,40.24384,4850 Carlisle Pike 17011,,,17011,,,,,8/18/2015,4850 Carlisle Pike 17011,17011,"Prohibited Acts; Penalties",,,,,,,,,,,,,,,,,,
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.93739,40.23952,-76.93739,40.23952,-76.94239,-76.93239,40.23452,40.24452,4850 Brian Road 17011,,,17011,,,,,7/5/2015,4850 Brian Road 17011,17011,Public Drunkenness,,,,,,,,,,,,,,,,,,
"E Trindle Rd, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.95514,40.23130,-76.95514,40.23130,-76.95714,-76.95314,40.22930,40.23330,4850 East Trindle Road 17011,,,17011,,,,,8/5/2015,4850 East Trindle Road 17011,17011,Simple Assault,,,,,,,,,,,,,,,,,,
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.93739,40.23952,-76.93739,40.23952,-76.94239,-76.93239,40.23452,40.24452,4850 Brian Road 17011,,,17011,,,,,3/30/2015,4850 Brian Road 17011,17011,Terroristic Threats,,,,,,,,,,,,,,,,,,
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.93739,40.23952,-76.93739,40.23952,-76.94239,-76.93239,40.23452,40.24452,4850 Delbrook Road 17011,,,17011,,,,,7/1/2016,4850 Delbrook Road 17011,17011,Theft by Unlawful Taking,,,,,,,,,,,,,,,,,,
"Carlisle Pike, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.95624,40.23784,-76.95624,40.23784,-76.96224,-76.95024,40.23184,40.24384,4850 Carlisle Pike 17011,,,17011,,,,,12/4/2015,4850 Carlisle Pike 17011,17011,Theft by Unlawful Taking,,,,,,,,,,,,,,,,,,
