OBJECTID,year,origin,enplanements,passengers,departures,arrivals,freight,mail
1159,2024,TRI,229758,231077,4277,4280,1900,131
1160,2024,TRM,103,114,47,48,0,0
1161,2024,TSG,23,23,3,3,0,0
1162,2024,TSM,5118,5168,311,315,0,0
1163,2024,TSS,62,62,30,32,0,0
1164,2024,TTD,11,11,3,3,0,0
1165,2024,TTN,241769,241887,1774,1783,0,0
1166,2024,TUL,1625731,1665687,20396,20405,51559211,4879
1167,2024,TUP,16171,16175,769,767,2505,0
1168,2024,TUS,1956368,1974784,20491,20523,25464458,0
1169,2024,TVC,392998,393589,5665,5695,38230,0
1170,2024,TVF,8675,8675,1075,1079,2192228,0
1171,2024,TVI,7,7,2,2,0,0
1172,2024,TVL,15,15,6,5,0,0
1173,2024,TWA,661,2046,616,615,11606,83884
1174,2024,TWD,8,8,3,3,0,0
1175,2024,TWF,31641,33472,1103,1415,617677,0
1176,2024,TX6,0,0,1,1,0,0
1177,2024,TXK,36300,37230,741,741,934,0
1178,2024,TXX,4,4,1,2,0,0
1179,2024,TYE,1261,1491,950,1339,90041,4526
1180,2024,TYR,51275,51275,1098,1098,465,0
1181,2024,TYS,1638690,1643661,20819,20817,27882516,51695
1182,2024,UAM,0,0,9,6,626203,0
1183,2024,UBF,110,110,45,45,0,0
1184,2024,UDD,18,23,9,14,0,0
1185,2024,UES,0,0,1,1,0,0
1186,2024,UGB,4,4,2,2,0,0
1187,2024,UGI,36,68,70,69,2564,2339
1188,2024,UGN,79,79,43,41,0,0
1189,2024,UGS,52,130,203,203,4328,15971
1190,2024,UIN,4105,4108,1519,1510,0,0
1191,2024,UKI,0,0,305,307,212121,0
1192,2024,UMT,69,69,42,37,32028,0
1193,2024,UNK,7030,8814,3564,3585,1061755,3708267
1194,2024,UOX,130,130,7,7,0,0
1195,2024,USA,131923,132323,938,937,0,0
