"","NCESSCH","USER_ID","cohort","TreatmentFlag","FIDELmid","EFFmeanMID","EFFmeanFINAL","CoTeachStrat","FINAL_a","FINAL_b","FINAL_c","MID_a","MID_b","MID_c","REG_a","REG_b","REG_c","CollabDialogueFinal","CollabDialogueMid","FidelMax","REG_Gender","REG_AgeRange","REG_Exper","REG_GPA","pctLunch","Enrollment","keep","ZPR_1","ZEFFmeanFINAL","ZEFFmeanMID","ZFIDELmid","ZREG_GPA","cc","FIDxGRP","PRE_1","COO_1","LEV_1","PRE_2","COO_2","LEV_2"
"46",421899003769,"392","Semester 4",1,4.63636363636364,3.5,4,4,4,4,4,3.75,3,3.75,3.5,3.5,3.75,1,1.5,5,2,2,1,3.7,0.65666372462489,1133,1,0.407587516435635,0.960002334375313,0.407587516435634,0.391146579622178,0.10483341068419,1,4.63636363636364,0.0353518496205608,0.000355035019230409,0.00304615363198706,-0.0929488551684544,0.000736640117652526,0.0063503481543605
"47",421899003769,"474","Semester 5",1,3.90909090909091,3.5,3.83333333333333,3,4,3.75,3.75,3.25,3.75,3.5,2.5,3,3,2.3,2.7,5,2,1,3,4,0.65666372462489,1133,0,0.407587516435635,0.55496638444074,0.407587516435634,-0.753055940161482,1.30324482124238,1,3.90909090909091,-0.483202547330676,0.00332280503402458,0.00833333428421001,-0.15781077706767,0.00291451784717836,0.0295863543410559
"48",421899003769,"473","Semester 5",1,4.09090909090909,3.25,4,3,4,4,4,3,3.75,3,3.25,3.25,3,2,2,5,2,2,1,4,0.65666372462489,1133,0,-0.237660359437688,0.960002334375313,-0.237660359437689,-0.467005310215567,1.30324482124238,1,4.09090909090909,-0.353563948092867,4.10242169477741e-05,0.00465709148696119,-0.443970211015718,0.000124579900307091,0.00629769847690785
"49",421899003765,"Kel","Semester 3 Control",0,4.72727272727273,3.41666666666667,3.83333333333333,0,3.75,4,3.75,3.25,3.5,3.5,NA,NA,NA,1.2,1.7,5,2,1,1,3.8,0.58296943231441,458,1,0.192504891144527,0.55496638444074,0.192504891144526,0.534171894595135,0.504303880870253,1,0,0.414133159027867,0.000419123223703665,0.0219399065586774,0.279788847548602,6.09892278314117e-05,0.0255627209689221
"50",421899003760,"470","Semester 5",1,4.63636363636364,3.58333333333333,3.5,3,3.75,3,3.75,3.5,3.5,3.75,2.75,3.5,3.75,2.2,2,4.75,2,1,1,3.7,0.544897959183673,490,0,0.622670141726743,-0.255105515428406,0.622670141726743,0.391146579622178,0.10483341068419,1,4.63636363636364,0.0353518496205608,0.000883857555514219,0.00304615363198706,-0.0929488551684544,0.00150573243817629,0.0063503481543605
"51",421899003760,"471","Semester 5",1,4.81818181818182,3.08333333333333,3.75,4,3.75,4,3.5,3.25,3,3,2.5,3,3,2.2,2.4,4.91666666666667,2,2,1,3.8,0.544897959183673,490,1,-0.667825610019903,0.352448409473454,-0.667825610019905,0.677197209568092,0.504303880870253,1,4.81818181818182,0.16499044885837,0.00232897822420539,0.00564843785925314,0.0240582634472998,0.00180885815889222,0.00963526949517625
"52",421899003744,"198","Semester 2",1,4.45454545454545,3.66666666666667,3.83333333333333,0,3.75,4,3.75,3.5,4,3.5,3.25,3.25,3.5,1.8,1.4,4.33333333333333,1,2,2,3.9,1.15198863636364,704,0,0.83775276701785,0.55496638444074,0.83775276701785,0.105095949676262,0.903774351056318,1,4.45454545454545,-0.0942867496172488,0.00195363942146565,0.00201350116084971,-0.00837269750230828,0.00158968721685888,0.00349511807942963
"53",421899003744,"285","Semester 3",1,3.09090909090909,3.91666666666667,4,2,4,4,4,3.75,4,4,4,4,4,2.6,4,4.33333333333333,2,2,1,3.7,1.15198863636364,704,0,1.48300064289117,0.960002334375313,1.48300064289117,-2.0402837749181,0.10483341068419,1,3.09090909090909,-1.06657624390082,0.105416147469263,0.0443006198539227,-1.08750936340237,0.0883275376101195,0.0443885778706194
"54",421899003744,"284","Semester 3",1,5,3.91666666666667,4,4,4,4,4,4,4,3.75,4,4,3.75,1,1,5,2,4,4,3.9,1.15198863636364,704,1,1.48300064289117,0.960002334375313,1.48300064289117,0.963247839514007,0.903774351056318,1,5,0.294629048096179,0.00656803862788903,0.00982035384264793,0.745815210908757,0.00829006968883556,0.0506823018459247
"55",421899003744,"395","Semester 4",1,4.72727272727273,3.16666666666667,3.75,4,3.5,4,3.75,3,3.5,3,3,3,3.5,1.2,1,5,2,4,1,4,1.15198863636364,704,1,-0.452742984728796,0.352448409473454,-0.452742984728798,0.534171894595135,1.30324482124238,1,4.72727272727273,0.100171149239465,0.000886299859437243,0.00415109177610401,-0.0344452958605773,0.000578455340721977,0.00778859810924766
"56",421899003744,"Dex","Semester 4 Control",0,2.72727272727273,4,4,0,4,4,4,4,4,4,NA,NA,NA,1.5,1,4.58333333333333,1,5,3,3.5,1.15198863636364,704,1,1.69808326818228,0.960002334375313,1.69808326818228,-2.61238503480993,-0.69410752968794,1,0,-0.0179883461018627,0.109157638056471,0.0962475234928778,0.307248629681613,0.0747905554074309,0.117480327502734
"57",421884004853,"Cou","Semester 4 Control",0,4.72727272727273,3.33333333333333,3.91666666666667,0,4,4,3.75,3.75,3,3.25,NA,NA,NA,NA,2.1,5,2,2,3,3.9,0.0496323529411765,544,1,-0.0225777341465797,0.757484359408026,-0.0225777341465811,0.534171894595135,0.903774351056318,1,0,0.414133159027867,0.00162734439039221,0.0219399065586774,0.682955400112404,0.00550284064827221,0.0364455807099294
"58",421884004682,"Ste","Semester 4 Control",0,5,3.66666666666667,3.91666666666667,0,3.75,4,4,3.5,3.75,3.75,NA,NA,NA,NA,6,5,2,2,1,3.8,0.14461247637051,3174,1,0.83775276701785,0.757484359408026,0.83775276701785,0.963247839514007,0.504303880870253,1,0,0.473058818818284,0.00160851208891965,0.0325569272220965,0.331021588970983,0.00285046360171946,0.0366065251918598
"59",421884001106,"Dev","Semester 5 Control",0,5,3.08333333333333,3.83333333333333,0,4,3.75,3.75,3.5,3,2.75,NA,NA,NA,2.9,2,4.41666666666667,2,2,1,4,20.588,418,1,-0.667825610019903,0.55496638444074,-0.667825610019905,0.963247839514007,1.30324482124238,1,0,0.473058818818284,0.0157416597688516,0.0325569272220965,0.331021588970983,0.0110753729463275,0.0366065251918598
"60",421776006346,"412","Semester 4",1,4.18181818181818,3.08333333333333,3.25,2,3.25,3.5,3,3.25,3.5,2.5,3.25,3.25,3.5,3.1,2.8,4.25,2,1,1,4,0.17671809256662,713,0,-0.667825610019903,-0.862659440330265,-0.667825610019905,-0.32397999524261,1.30324482124238,1,4.18181818181818,-0.288744648473962,0.000384020042137899,0.00340758199688505,-0.385466651707841,0.000212935142213144,0.00528541984554635
