Match_addr,City,Subregion,Region,Postal,Lng,Lat,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ARC_Addres,ARC_Neighb,ARC_City,ARC_Subreg,ARC_Region,ARC_Postal,ARC_Post_1,ARC_Countr,CrimeDate,Address_Cl,Zip_Code,CrimeType
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.937391,40.239519,-76.937391,40.239519,-76.942391,-76.932391,40.234519,40.244519,701 East Locust Street (Spankys) 17011,,,17011,,,,,1/11/2016,701 East Locust Street (Spankys) 17011,17011,Bad Check
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.937391,40.239519,-76.937391,40.239519,-76.942391,-76.932391,40.234519,40.244519,1100 Grandon Way (Brookdale Retirement Home) 17011,,,17011,,,,,10/26/2015,1100 Grandon Way (Brookdale Retirement Home) 17011,17011,Theft by Unlawful Taking
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.937391,40.239519,-76.937391,40.239519,-76.942391,-76.932391,40.234519,40.244519,1100 of Grandon Way 17011,,,17011,,,,,10/22/2015,1100 of Grandon Way 17011,17011,Theft by Unlawful Taking
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.937391,40.239519,-76.937391,40.239519,-76.942391,-76.932391,40.234519,40.244519,1410 Good Hope Road (Faith Tabernacle School) 17011,,,17011,,,,,10/17/2016,1410 Good Hope Road (Faith Tabernacle School) 17011,17011,Institutional Vandalism
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.937391,40.239519,-76.937391,40.239519,-76.942391,-76.932391,40.234519,40.244519,1700 Adeline Drive 17011,,,17011,,,,,12/18/2016,1700 Adeline Drive 17011,17011,Theft by Unlawful Taking
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.937391,40.239519,-76.937391,40.239519,-76.942391,-76.932391,40.234519,40.244519,1806 Lambs Gap Road (Lambs Gap Animal Hospital) 17011,,,17011,,,,,4/7/2015,1806 Lambs Gap Road (Lambs Gap Animal Hospital) 17011,17011,Bad Check
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.937391,40.239519,-76.937391,40.239519,-76.942391,-76.932391,40.234519,40.244519,1995 Technology Parkway (West Shore Hospital) 17011,,,17011,,,,,12/24/2015,1995 Technology Parkway (West Shore Hospital) 17011,17011,Terroristic Threats
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.937391,40.239519,-76.937391,40.239519,-76.942391,-76.932391,40.234519,40.244519,1995 Technology Parkway (West Shore Hospital) 17011,,,17011,,,,,6/4/2015,1995 Technology Parkway (West Shore Hospital) 17011,17011,Theft by Unlawful Taking
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.937391,40.239519,-76.937391,40.239519,-76.942391,-76.932391,40.234519,40.244519,1995 Technology Parkway (West Shore Hospital) 17011,,,17011,,,,,6/2/2015,1995 Technology Parkway (West Shore Hospital) 17011,17011,Theft by Unlawful Taking
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.937391,40.239519,-76.937391,40.239519,-76.942391,-76.932391,40.234519,40.244519,2020 Technology Parkway (Novitas Solutions) 17011,,,17011,,,,,4/27/2015,2020 Technology Parkway (Novitas Solutions) 17011,17011,Theft by Unlawful Taking
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.937391,40.239519,-76.937391,40.239519,-76.942391,-76.932391,40.234519,40.244519,2025 Technology Parkway (Good Day Pharmacy) 17011,,,17011,,,,,11/20/2015,2025 Technology Parkway (Good Day Pharmacy) 17011,17011,Robbery
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.937391,40.239519,-76.937391,40.239519,-76.942391,-76.932391,40.234519,40.244519,2055 Technology Parkway (Holiday Inn Express) 17011,,,17011,,,,,1/30/2015,2055 Technology Parkway (Holiday Inn Express) 17011,17011,Criminal Mischief
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.937391,40.239519,-76.937391,40.239519,-76.942391,-76.932391,40.234519,40.244519,2060 Good Hope Road (Turkey Hill) 17011,,,17011,,,,,5/12/2016,2060 Good Hope Road (Turkey Hill) 17011,17011,Robbery
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.937391,40.239519,-76.937391,40.239519,-76.942391,-76.932391,40.234519,40.244519,2060 Good Hope Road (Turkey Hill) 17011,,,17011,,,,,6/24/2015,2060 Good Hope Road (Turkey Hill) 17011,17011,Robbery
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.937391,40.239519,-76.937391,40.239519,-76.942391,-76.932391,40.234519,40.244519,2060 Good Hope Road (Turkey Hill) 17011,,,17011,,,,,12/9/2016,2060 Good Hope Road (Turkey Hill) 17011,17011,Theft by Unlawful Taking
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.937391,40.239519,-76.937391,40.239519,-76.942391,-76.932391,40.234519,40.244519,2240 Millenium Way (Als of Hampden) 17011,,,17011,,,,,6/4/2016,2240 Millenium Way (Als of Hampden) 17011,17011,Theft from a Motor Vehicle
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.937391,40.239519,-76.937391,40.239519,-76.942391,-76.932391,40.234519,40.244519,2385 Wertz Lane (Kreitzers Automotive) 17011,,,17011,,,,,7/21/2016,2385 Wertz Lane (Kreitzers Automotive) 17011,17011,Theft by Unlawful Taking
"3431 Simpson Ferry Rd, Camp Hill, Pennsylvania, 17011",Camp Hill,Cumberland,Pennsylvania,17011,-76.937513,40.226508,-76.937513,40.226508,-76.938513,-76.936513,40.225508,40.227508,3431 Simpson Ferry Road (Cinema Center) 17011,,,17011,,,,,8/6/2015,3431 Simpson Ferry Road (Cinema Center) 17011,17011,Disorderly Conduct
"3431 Simpson Ferry Rd, Camp Hill, Pennsylvania, 17011",Camp Hill,Cumberland,Pennsylvania,17011,-76.937513,40.226508,-76.937513,40.226508,-76.938513,-76.936513,40.225508,40.227508,3431 Simpson Ferry Road (Cinema Center) 17011,,,17011,,,,,9/24/2016,3431 Simpson Ferry Road (Cinema Center) 17011,17011,Theft by Deception
"3431 Simpson Ferry Rd, Lower Allen Twp, Pennsylvania, 17011",Lower Allen Twp,Cumberland,Pennsylvania,17011,-76.937513,40.226508,-76.937513,40.226508,-76.938513,-76.936513,40.225508,40.227508,3431 Simpson Ferry Road (Aarons) 17011,,,17011,,,,,7/11/2016,3431 Simpson Ferry Road (Aarons) 17011,17011,Theft by Unlawful Taking
"3431 Simpson Ferry Rd, Lower Allen Twp, Pennsylvania, 17011",Lower Allen Twp,Cumberland,Pennsylvania,17011,-76.937513,40.226508,-76.937513,40.226508,-76.938513,-76.936513,40.225508,40.227508,3431 Simpson Ferry Road (Aarons) 17011,,,17011,,,,,2/24/2016,3431 Simpson Ferry Road (Aarons) 17011,17011,Theft by Unlawful Taking
"3431 Simpson Ferry Rd, Camp Hill, Pennsylvania, 17011",Camp Hill,Cumberland,Pennsylvania,17011,-76.937513,40.226508,-76.937513,40.226508,-76.938513,-76.936513,40.225508,40.227508,3431 Simpson Ferry Road (Cinema Center) 17011,,,17011,,,,,3/20/2016,3431 Simpson Ferry Road (Cinema Center) 17011,17011,Theft from a Motor Vehicle
"3431 Simpson Ferry Rd, Camp Hill, Pennsylvania, 17011",Camp Hill,Cumberland,Pennsylvania,17011,-76.937513,40.226508,-76.937513,40.226508,-76.938513,-76.936513,40.225508,40.227508,3431 Simpson Ferry Road (Cinema Center) 17011,,,17011,,,,,8/2/2015,3431 Simpson Ferry Road (Cinema Center) 17011,17011,Theft from a Motor Vehicle
"3442 Simpson Ferry Rd, Camp Hill, Pennsylvania, 17011",Camp Hill,Cumberland,Pennsylvania,17011,-76.937244,40.226610,-76.937244,40.226610,-76.938244,-76.936244,40.225610,40.227610,3442 Simpson Ferry Road (John H Myers) 17011,,,17011,,,,,3/27/2015,3442 Simpson Ferry Road (John H Myers) 17011,17011,Bad Check
"3442 Simpson Ferry Rd, Camp Hill, Pennsylvania, 17011",Camp Hill,Cumberland,Pennsylvania,17011,-76.937244,40.226610,-76.937244,40.226610,-76.938244,-76.936244,40.225610,40.227610,3442 Simpson Ferry Road (John H Myers) 17011,,,17011,,,,,8/28/2015,3442 Simpson Ferry Road (John H Myers) 17011,17011,Bad Check
"3447 Simpson Ferry Rd, Camp Hill, Pennsylvania, 17011",Camp Hill,Cumberland,Pennsylvania,17011,-76.938189,40.226392,-76.938189,40.226392,-76.939189,-76.937189,40.225392,40.227392,3447 Simpson Ferry Road (Play and Trade Video) 17011,,,17011,,,,,7/17/2016,3447 Simpson Ferry Road (Play and Trade Video) 17011,17011,Access Device Fraud
"3449 Simpson Ferry Rd, Lower Allen Twp, Pennsylvania, 17011",Lower Allen Twp,Cumberland,Pennsylvania,17011,-76.938273,40.226378,-76.938273,40.226378,-76.939273,-76.937273,40.225378,40.227378,3449 Simpson Ferry Road (Lower Allen Diner) 17011,,,17011,,,,,1/11/2015,3449 Simpson Ferry Road (Lower Allen Diner) 17011,17011,Theft by Unlawful Taking
