LEAID,district_,latcod,loncod,TotalFreeLunch,NumberStudents,ulocal,coname,countyCode,NumberTeachers,povrate,NumberSchools,pctprofEnglish,povrateW
4222800,STEELTON-HIGHSPIRE SD,40.2388,-76.83,1038,1341,21,DAUPHIN COUNTY,42043,89,.773224043715847,2,16,.774049217002237
4222830,STO-ROX SD,40.4707,-80.0745,1162,1361,21,ALLEGHENY COUNTY,42003,82.74,.857296844925339,3,17.4,.853783982365907
4222860,STROUDSBURG AREA SD,41.0085,-75.2038,2160,5066,23,MONROE COUNTY,42089,361.51,.444086356504248,9,42.76,.426371891038295
4222920,SULLIVAN COUNTY SD,41.4204,-76.4979,217,604,42,SULLIVAN COUNTY,42113,47.1,.357889237199582,2,48.85,.359271523178808
4222980,SUSQUEHANNA COMMUNITY SD,41.95,-75.5906,462,801,41,SUSQUEHANNA COUNTY,42115,68.99,.567614776963788,2,44.9,.576779026217228
4223010,SUSQUEHANNA TOWNSHIP SD,40.3287,-76.8705,1087,2773,21,DAUPHIN COUNTY,42043,206.74,.395901971596969,4,40.6,.39199423007573
4223040,SUSQUENITA SD,40.3548,-77,648,1729,21,PERRY COUNTY,42099,139,.370999537441968,3,46.9,.374783111625217
4223220,TAMAQUA AREA SD,40.7491,-75.8707,815,2102,42,SCHUYLKILL COUNTY,42107,139.5,.367926784138097,5,47.5333333333333,.387725975261656
4223250,RIVERSIDE SD,41.3807,-75.7199,721,1567,21,LACKAWANNA COUNTY,42069,112.5,.477008900754591,3,38.8,.460114869176771
4223490,TITUSVILLE AREA SD,41.6283,-79.683,1281,2070,33,CRAWFORD COUNTY,42039,137.4,.629501702795588,6,46.675,.618840579710145
4223550,TOWANDA AREA SD,41.7722,-76.4486,811,1579,32,BRADFORD COUNTY,42015,96.75,.529847565584637,3,42.75,.513616212792907
4223640,TREDYFFRIN-EASTTOWN SD,40.0474,-75.4474,363,6537,21,CHESTER COUNTY,42029,411.2,.0543968521925838,8,43.9857142857143,.0555300596603947
4223700,TRI-VALLEY SD,40.6859,-76.6043,324,865,42,SCHUYLKILL COUNTY,42107,69.47,.363828046458319,3,52.6,.374566473988439
4223760,TRINITY AREA SD,40.1889,-80.2105,1005,3309,21,WASHINGTON COUNTY,42125,237,.318650304531009,6,47,.303717135086129
4223790,TROY AREA SD,41.7793,-76.7933,679,1458,42,BRADFORD COUNTY,42015,104,.473703534427506,3,45.05,.465706447187929
4223820,TULPEHOCKEN AREA SD,40.4519,-76.177,564,1444,42,BERKS COUNTY,42011,120.6,.385342676647024,3,45.4,.390581717451524
4223850,TUNKHANNOCK AREA SD,41.5423,-75.954,1083,2595,31,WYOMING COUNTY,42131,194.66,.440919195203404,6,49.8,.417341040462428
4223880,TURKEYFOOT VALLEY AREA SD,39.7986,-79.3296,251,410,42,SOMERSET COUNTY,42111,37,.605823162658578,2,28.15,.61219512195122
4223970,TUSSEY MOUNTAIN SD,40.1606,-78.229,652,1121,42,BEDFORD COUNTY,42009,84.4,.602653822031024,5,42.15,.581623550401427
4224000,TWIN VALLEY SD,40.2445,-75.8698,798,3396,41,BERKS COUNTY,42011,215.55,.239358029710623,5,44.375,.234982332155477
4224030,TYRONE AREA SD,40.6741,-78.2496,915,1870,31,BLAIR COUNTY,42013,119.2,.483220692528625,3,42.6,.489304812834225
4224060,UNION AREA SD,40.9997,-80.3776,278,793,31,LAWRENCE COUNTY,42073,54.5,.350381567463219,3,43.9,.350567465321564
4224090,UNION CITY AREA SD,41.8899,-79.8386,763,1242,32,ERIE COUNTY,42049,86.58,.601474249658597,3,41.5,.614331723027375
4224120,UNION SD,41.0339,-79.5002,335,614,42,CLARION COUNTY,42031,49,.556813100827185,3,47.6,.545602605863192
4224150,UNIONTOWN AREA SD,39.7537,-79.4421,1756,2838,42,FAYETTE COUNTY,42051,202,.611514962162193,9,41.6875,.618745595489782
4224210,UNIONVILLE-CHADDS FORD SD,39.8737,-75.5997,147,4068,41,CHESTER COUNTY,42029,291.6,.0386651600353456,6,36.12,.0361356932153392
4224240,UNITED SD,40.4661,-79.0456,401,1113,42,INDIANA COUNTY,42063,83,.358203514820047,2,47.15,.360287511230907
4224300,UPPER ADAMS SD,39.9193,-77.2987,786,1640,41,ADAMS COUNTY,42001,113.37,.482726953815002,5,44.575,.479268292682927
4224320,UPPER DARBY SD,39.9531,-75.3159,6950,12164,21,DELAWARE COUNTY,42045,788.03,.584131342430083,14,39.0083333333333,.571358105886222
4224360,UPPER DAUPHIN AREA SD,40.5664,-76.7565,526,1254,41,DAUPHIN COUNTY,42043,91.84,.415088881109361,3,45.85,.419457735247209
4224390,UPPER DUBLIN SD,40.1519,-75.1697,458,4268,21,MONTGOMERY COUNTY,42091,297.96,.103312084484198,6,49.3,.107310215557638
4224480,UPPER MERION AREA SD,40.0975,-75.3738,1178,3940,21,MONTGOMERY COUNTY,42091,276.8,.29219151101,6,43.8,.298984771573604
4224510,UPPER MORELAND TOWNSHIP SD,40.1548,-75.1091,952,3051,21,MONTGOMERY COUNTY,42091,200.1,.314465644146324,4,47.1,.312028843002294
4224540,UPPER PERKIOMEN SD,40.4086,-75.507,795,3263,21,MONTGOMERY COUNTY,42091,200.45,.242505526525679,4,50.6333333333333,.243640821330064
