NCESSCH,USER_ID,cohort,cohort2,ZPR_1,FIDELmid,EFFmeanMID,EFFmeanFINAL,CoTeachStrat,keep3strat,keep4strat,FidelMax,female,REG_AgeRange,REG_Exper,REG_GPA,pctLunch,Enrollment,MID_Fidel1,MID_Fidel2,MID_Fidel3,MID_Fidel4,MID_Fidel5,MID_Fidel6,MID_Fidel7,MID_Fidel8,MID_Fidel9,MID_Fidel10,MID_Fidel11,MID_Fidel12,MID_Fidel13,MID_Fidel14,MID_Fidel15,MID_Fidel16,MID_Fidel17,MID_Fidel18,MID_Fidel19,MID_Fidel20,MID_Fidel21,MID_Fidel22,MID_Fidel23,MID_Fidel24,MID_Fidel25,MID_Fidel26,MID_Fidel27
421776000459,405,Semester 4,1,-.363972275726904,4.18181818181818,3.25,3.41666666666667,4,1,1,5,0,1,2,3.7,.136,500,4,3,4,4,4,4,5,4,3,5,5,5,5,5,4,2,5,5,5,5,5,5,4,2,3,3,5
421776000459,498,Semester 5,1,.489082043845901,3.81818181818182,3.58333333333333,3.58333333333333,3,1,0,3,1,1,1,3.7,.136,500,3,3,3,3,3,3,5,4,4,5,5,5,4,2,5,2,3,3,5,4,4,5,4,4,3,3,2
421689005260,Sar,Semester 1 Control,0,1.58503768966287,-9,4,4,0,1,1, ,1,1,2,3.8,.539499036608863,519,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
421689005260,376,Semester 3,1,-.0914332031317878,4.72727272727273,3.33333333333333,3.91666666666667,5,1,1,5,1,2,1,3.9,.539499036608863,519,4,5,5,5,5,5,5,5,5,4,5,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5
421536001794,Mel,Semester 1 Control,0,-2.82842263995595,-9,2.33333333333333,3.66666666666667,0,1,1, ,1,3,2,3.3,.270491803278689,244,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
421536001793,Mel,Semester 1 Control,0,.577995282898774,-9,3.58333333333333,3.75,0,1,1, ,1,2,1,4,.464190981432361,377,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
421524001788,Mer,Semester 1 Control,0,1.09923503717455,-9,3.83333333333333,3.83333333333333,0,1,1, ,1,1,1,3.6,.331828442437923,443,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
421524000703,374,Semester 3,1,.284709787857987,5,3.5,3,4,1,1,3.91666666666667,1,2,1,3.73,.532150776053215,451,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
421524000703,375,Semester 3,1,.625287483226612,5,3.66666666666667,4,5,1,1,4.33333333333333,1,2,1,3.44,.532150776053215,451,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,3
421524000703,570,Semester 5,1,.613432384686229,4.27272727272727,3.66666666666667,4,6,1,1,4.83333333333333,1,2,2,3.4,.532150776053215,451,3,3,3,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1
