NCESSCH,USER_ID,TreatmentFlag,FIDELmid,EFFmeanMID,EFFmeanFINAL,FINAL_a,FINAL_b,FINAL_c,MID_a,MID_b,MID_c,REG_a,REG_b,REG_c,CollabDialogueFinal,CollabDialogueMid,FidelMax,REG_Gender,REG_AgeRange,REG_Exper,REG_GPA,ZPR_1,FIDxGRP
421503001711,403,1,4.63636363636364,3.41666666666667,3.66666666666667,3.75,4,3.25,3.5,3.75,3,3,3.5,2.75,1,1.7,4.58333333333333,2,1,1,3.46,.213880061836217,4.63636363636364
421503000862,516,1,2.54545454545455,3.08333333333333,3.66666666666667,3.5,3.75,3.75,3,3.5,2.75,3.25,3.75,3.5,3.4,3.6,2.83333333333333,2,2,1,3.9,-.641640185508649,2.54545454545455
421455002618,set,0,3.81818181818182,3.66666666666667,3.41666666666667,3,3.5,3.75,3.75,3.75,3.5, , , ,1.6,1,1.33333333333333,1,4,1,3.7,.855520247344866,0
421410001797,580,1,4.90909090909091,4,4,4,4,4,4,4,4,3.75,3.75,4,2,2,4.25,2,4,4,3.98,1.71104049468973,4.90909090909091
421410001776,Chr,0,3.09090909090909,3.41666666666667,2.83333333333333,3,2.75,2.75,3.5,3,3.75, , , ,2.8,3.3,4.08333333333333,1,4,1,3.3,.213880061836217,0
421410001776,441,1,5,3.58333333333333,4,4,4,4,4,3.5,3.25,4,4,3.75,1,1.6,4.58333333333333,2,2,2,3.49,.64164018550865,5
421410001776,513,1,4.81818181818182,3.41666666666667,3.75,4,3.75,3.5,4,3.5,2.75,3,3.25,3.5,1.1,2,4.91666666666667,2,2,3,3.88,.213880061836217,4.81818181818182
421410001776,506,1,4.36363636363636,3,3,3,3,3,3.25,3,2.75,2.75,2.5,2.75,2,2.4,4,2,2,1,3.6,-.855520247344866,4.36363636363636
421410001776,566,1,5,2.75,3.75,3.5,3.75,4,3.5,2.25,2.5,3.25,3.25,3.75,1,2.2,5,2,2,2,3.9,-1.49716043285352,5
421410001752,372,1,4.81818181818182,3.33333333333333,3.66666666666667,3.5,4,3.5,3.25,3.5,3.25,3.5,3,3.75,1.2,1.5,5,2,2,1,3.2,7.15904574140093E-016,4.81818181818182
421410001752,369,1,5,3.91666666666667,4,4,4,4,3.75,4,4,4,4,4,2,2,5,2,2,3,4,1.49716043285352,5
421410001752,370,1,4.81818181818182,3.5,3.75,3.75,3.5,4,3,4,3.5,3,2.5,3,2,2.5,4.91666666666667,2,1,2,3.3,.427760123672433,4.81818181818182
421410001752,569,1,4.63636363636364,3.41666666666667,3.75,3.5,4,3.75,3.5,3.25,3.5,3,3.25,3.75,1.2,1.7,4.91666666666667,2,2,1,3.37,.213880061836217,4.63636363636364
421410000122,213,1,5,3.66666666666667,3.66666666666667,4,4,3,4,4,3,3,3,3,1.3,1.1,4.75,1,2,3,3.4,.855520247344866,5
421410000122,371,1,5,3.5,3.66666666666667,3.75,4,3.25,3.25,4,3.25,3.5,4,3.25,1,2,4.75,2,2,1,3.7,.427760123672433,5
421410000122,373,1,4.81818181818182,3.66666666666667,3.5,4,3,3.5,3.75,3.75,3.5,3.5,3.25,3.5,1,1.3,5,2,2,2,3.5,.855520247344866,4.81818181818182
421410000122,442,1,4.36363636363636,3.25,3.91666666666667,4,4,3.75,3.25,3,3.5,3,2.75,2.5,2,2.2,4.58333333333333,2,2,1,3.32,-.213880061836216,4.36363636363636
421410000122,And,1,4.09090909090909,3.25,3.33333333333333,3.25,3.75,3,3.25,3.75,2.75,2.75,2.75,3.25,1.8,2.4,4,2,2,2,3.65,-.213880061836216,4.09090909090909
